1;2791.00;10.10;1571.00;big
1;2760.00;10.43;1563.00;big
2;2763.00;11.38;1612.00;big
2;2734.00;11.30;1576.00;big
3;2735.00;11.82;1657.00;big
3;2720.00;13.20;1692.00;big
4;2688.00;10.00;1616.00;big
4;2668.00;10.03;1589.00;big
5;2881.00;10.43;1530.00;big
5;2894.00;9.60;1561.00;big
6;2939.00;9.95;1565.00;big
6;2962.00;9.70;1610.00;big
7;2962.00;12.30;1487.00;big
7;2921.00;10.68;1527.00;big
8;3049.00;9.80;1557.00;big
8;3002.00;9.75;1566.00;big
9;3099.00;9.98;1685.00;big
9;3137.00;9.50;1742.00;big
10;3026.00;10.38;1661.00;big
10;3047.00;10.10;1714.00;big
11;2971.00;12.70;1794.00;big
11;2932.00;14.12;1735.00;big
12;3330.00;11.05;1927.00;big
12;3228.00;10.70;1924.00;big
13;3184.00;9.50;1779.00;big
13;3259.00;9.73;1794.00;big
14;3785.00;10.50;1672.00;big
14;3904.00;9.90;1701.00;big
16;2800.00;9.50;1783.00;big
16;2821.00;9.50;1650.00;big
17;3419.00;16.58;853.00;big
17;3512.00;11.32;772.00;big
18;2836.00;9.50;1555.00;big
18;2754.00;9.50;1518.00;big
19;2896.00;10.43;1482.00;big
19;2850.00;9.80;1496.00;big
20;2884.00;9.82;1417.00;big
20;2826.00;10.00;1407.00;big
21;3034.00;13.70;1468.00;big
21;2950.00;10.65;1435.00;big
22;3032.00;12.15;1510.00;big
22;3101.00;12.43;1495.00;big
23;3045.00;9.88;1329.00;big
23;2986.00;10.50;1389.00;big
24;3130.00;11.50;1376.00;big
24;3056.00;12.38;1418.00;big
25;3158.00;10.68;1307.00;big
25;3224.00;9.75;1346.00;big
26;3199.00;10.25;1387.00;big
26;3240.00;9.90;1450.00;big
27;3096.00;9.80;1457.00;big
27;3170.00;15.30;1452.00;big
28;3365.00;10.00;1174.00;big
28;3482.00;9.80;1213.00;big
29;3045.00;9.50;1208.00;big
29;3130.00;9.50;1282.00;big
30;3359.00;9.50;1389.00;big
30;3260.00;9.50;1382.00;big
31;4044.00;10.12;936.00;big
